id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
124,False,Mashhad,Friday 01AM,"گوشی بسیار تمیز 
کم کار
با مدارک کامل",2,NA,mobile,320000,گوشی هواوی جی ۷۰۰,NA,NA
171,False,Mashhad,Friday 06AM,سالم.تمیز.با3عدقاب فانتزی.رنگ سفید.حافظه داخلی 8.دوربین13 باخریدارواقعی کنارمیام$NUM,1,NA,mobile,7000000,گوشی  J7    4G,NA,NA
205,True,Isfahan,Thursday 05AM,گوشی کاملا تمیز بدون هیچ خط وخش باطری سالمه سالمه تازه اپدیتش کردم ١٦گیگه مشکیه اگه یه خط روش پیداکردی ماله خودت اصلLLA.لوازم کارتون شارژرو..معاوضه باسونی zوz1واچ تی سی هم رده سوالی داشتید یا عکس خواستید پیام بدید فقط$NUMقیمت برا فروشم400هندزفریاش شکسته خودم هنذفری میزارم روش,0,NA,mobile,400000,اپل ٤ ١٦g  معاوضه با سونی و اچ تی سی خوب,NA,NA
249,True,Qom,Wednesday 07AM,"گوشی با آک هیچ فرقی نداره فک کن داری آک میخری با ضمانت نامه دوسیم ۳۲ گیگ رنگ سورمه ای خاص سالممممممممم و و تمیز بدون هیچ خط و خشی خیلی تمیز هرچی بگم کم گفتم لیبل ضد ضربه و خشم داره روش با یه قاب خوشگل
قیمت 1690 گوشی فوق العاده سالم و تمیزه واقعا به قیمت گفتم
تمام وسایل کامل و اصلی و فابریک حتی سر نوک های قلمش روشه
ضمانتم داره هرچیم خواستی تستش کن
تعویض و شرایطی ندارم فقط نقد
هرکی بخره سود کرده گوشی آکو به قیمت پایین تر میخره پس قیمت پرت ندید چون قیمتو خیلی خوب گفتم
توضیحات کامل دادم فقط واسه خرید تماس بگیر
یاعلی",3,NA,mobile,1690000,نوت 5 دوسیم در حد آک فوق سالم و نو,NA,NA
280,False,Karaj,Wednesday 02AM,گوشی سالمه تقریبا 7 ماه دستمه خیلی هم ازش راضی ام تازه ی هفتست ی شارژر فابریکی هم خریدم 45تومن، میخوام بفروشم ایفون بخرم,2,NA,mobile,700000,گوشی سامسونگ نوت3 ن او,NA,NA
297,False,Karaj,Monday 10PM,گوشی الجی فوق العاده تمیز رنگ سفید  دوسیم کارت دوربین8 فوکوس اتومات کیفیت عالی  صفحه نمایش 5اینچ 16میلیون رنگ حافظه داخی 8گیگ کیفیت دوربین عالی  اندورید5.2 پردازدهMediatek MT6582 حافظه رم 1گیگ دارای هدست شارژ کارتن وقاب زد ضربه پشتیبانی از فرمت های تصویری  Xvid/MP4/H.264,1,NA,web,500000,LG L Bello D335,NA,NA
383,True,Qom,Monday 08PM,"سلام علیکم 
فروش یک عدد گوشی موبایل سامسونگ نوت 4 سالم و تمیز بدون خط و خش با لوازم تکمیل و گلس و قاب ژله ای 
حافظه 32 و سری اچ 
قیمت مقطوع،  ولی به جای تخفیف یه باطری نو به خریدار تقدیم میکنم 
معاوضه فقط با گوشی سامسونگ اس 5 دو سیم",2,NA,mobile,950000,گوشی نوت 4,NA,NA
389,True,Isfahan,Sunday 06AM,گوشی بدون خط و خش نو نو تایوانی اصل تضمینی میدم، سه ماه کارکرده، سالم سالم به همراه گارد و گلس,2,NA,mobile,720000,Htc one m8 در حد,NA,NA
768,True,Shiraz,Friday 05AM,"سلام اس 6 رنگ گلد در حد نو واقعا عالی هست 32گیگ فقط, فروش یکو 150 این گهی تکراری نیست با تشکر از دیوار",0,NA,mobile,1150000,s6.32g,NA,NA
967,True,Shiraz,Tuesday 04AM,فکر کن داری گوشی نو میخری در حد اک قول هواوی 8 هسته ای قدرتمند رم اجرایی 3گیگ حافظه داخلی 32گیگ قابل ارتقا تا 128گیگ دوسیم4Gهمزمان دوربین فوق العاده 13مگاپیکسلی وسلفی 8مگاپیکسلی عالی دارای حسگر اثر انگشت فوق العاده حساس  بهترین رنگ گری صفحه 5.5اینچی فول اچدی صدای استریو بدنه کاملا فلزی قابل معاوضه قیمت پرت ندین نوش الان 1100هست .,0,NA,mobile,790000,گوشی هواوی G8مدل 4G(معاوضه ای),NA,NA
994,True,Ahvaz,Sunday 11AM,"سامسونگ جی ۵ محصول سال 2015 گلد 

کاملا سالم بدون خط و خش در حد آک 
فورجی 
یو اس بی میخونه 
قیمت مقطوع 
تماس از طریق واتس و تلگرام و اس ام اس",2,NA,mobile,500000,سامسونگ j5,NA,NA
1267,True,Karaj,Monday 06AM,"گوشی نوکیا 105 آکبند هندی با شارژر اصلی
تحویل در تمام نقاط کرج با پیک رایگان",1,NA,mobile,60000,گوشی نوکیا 105,NA,NA
1312,False,Shiraz,Sunday 07AM,این گوشی برندهست باصفحه۵اینچ چهار هسته حافضه۸گیگ دوربین جلو۵ وعقب۸ باسرعت اینترنت فوق عالی اندروید۴.۴.۴ قابل ارتقا به۵.۱واسه تنوع میخواستم معاوضه کنم باهمرده یاالجی یاسامسونگ و..تماس بگیرید,3,NA,mobile,260000,اسمارت برندccitمعاوضه با,NA,NA
1533,True,Tehran,Saturday 05AM,گوشی سالم سالم با تمام لوازم  و کامل,1,NA,mobile,185000,هواویG510,NA,NA
1546,True,Karaj,Friday 03AM,"گلگسی A9 سامسونگ نو
حافظه32 
6 اینج 
دوربین 13
دوربین جلو8",1,NA,mobile,350000,گوشی سامسونگ گلگسی A9 طرح,NA,NA
1567,False,Tehran,Friday 02AM,"32 گیگ | 4G | رنگ : تیتانیوم | دو سیم | 2 سال خدمات گارانتی | فول پک همراه با Q-COVER & PROTECTION FILM ، CAM PLUS 
دو ماه کار کرده کاملا سالمه سالمه +  هدست استریو بی سیم ال جی مدل Tone Platinum HBS$NUM
$NUM
قیمت مقطوع مقطوع، بدون معاوضه و اصلا جدا نمی فروشم  و برای خودم همش$NUMتموم شده",0,NA,mobile,2000000,Lg G5+LG HBS-1100 Headset,NA,NA
1749,True,Tehran,Sunday 03AM,ال سی دی تعویض شده،لوازم با جعبه,5,NA,mobile,900000,Z5 Premium,NA,NA
1889,True,Ahvaz,Monday 10PM,این گوشی رو خودم ٤سال پیش خریدم کاملا سالم ولی اندروید نیست استفاده ازش ندارم میخوام بفروشم فقط تماس بگیرید پیامک جواب نمیدم باتشکر,1,NA,mobile,50000,گوشی استار٢,NA,NA
2027,False,Isfahan,Saturday 10AM,"یک عد گوشی Sony z2
lcd شکسته ولی هیچ مشکل دیگه ای نداره",1,NA,mobile,250000,Sony z2,NA,NA
2159,True,Shiraz,Wednesday 07AM,"گوشى هواوى G8 ٣٢ گیگ
سنسور اثر انگشت
دو سیم کارت
٣ گیگابایت رم
٦٤ بیت

کیفیت صفحه نمایش 401 ppi و ٥.٥ اینچ
4G

دوربین اصلی 13 
دوربین سلفى 5
هندزفرى تا حالا استفاده نشده
حدودا ١٠ ماه گوشى استفاده شده
بدون ضربه و خط و خش
به اندروید ٦ ارتقا داده شده",2,NA,mobile,800000,هواوی G8,NA,NA
2354,False,Tehran,Thursday 06PM,جعبه مشکیه stv100-4 شارژ وایرلس خودم از کانادا اوردم 4 روز مهلت تست میدم,2,NA,web,1400000,پریو,NA,NA
2546,False,Mashhad,Wednesday 01PM,"ظرفیت 16g
بسیار بسیار تمیز
قابل مقایسه با آکبند
به ازای هر ایراد که از گوشی یا لوازم داخل جعبه بتونید بگیرید ٥٠/٠ تومان از قیمت کم میکنم
اشانتیون : 
١ - یک عدد  apple id با مشخصات خریدار
٢ - پک کامل نرم افزار و بازی",4,NA,mobile,2000000,آیفون 6s,NA,NA
2583,True,Tehran,Thursday 03PM,سلام یک عدد سامسونگ اس 4 با لوازم اندروید 5,4,NA,mobile,420000,سامسونگ s4,NA,NA
2604,True,Isfahan,Thursday 04AM,کارکرد :2ماه .فقط تماس گرفته شود ب این شماره:$NUM,2,NA,mobile,60000,گوشی موبایل نوکیا 108Dual sim,NA,NA
2921,True,Shiraz,Friday 12PM,گلد.۶۴ گیگ.بسیار تمیز و سالم.پک اصلی LL/A آمریکا.ریپک و رفرش نیست.گلس سه بعدی ۶۰ تومنی و بک کاور.با گوشی هم معامله میکنم,0,NA,mobile,2250000,iphone 6S plus 64,NA,NA
2985,True,Tehran,Saturday 07AM,"32 گیگ' با جعبه و لوازم جانبی' فقط تماس
تعویض نمیکنم",2,NA,mobile,255000,گوشی ایفون 4,NA,NA
3159,False,Tehran,Monday 06AM,کارکرد یک ماه,2,NA,mobile,1950000,گوشی s7 edge,NA,NA
3312,False,Isfahan,Tuesday 06AM,اخرین مدل ایفون 4نو نوتمیز بدونه خش,0,NA,mobile,500000,ایفون 4نو اصلی یک ماه کار 32گیگ,NA,NA
3390,False,Tabriz,Monday 02PM,"سلام 
گوشی نو در حد صفر تازه خریدم ،حتی یه بار هم باهاش زنگ نزدم،راضی هم نیستم از فروشش، از هر دو طرف ضد خشش نو هست یه ضد خش اضافی تو جعبش داره،شارژ کن اصلی خودش و هندزفری هم همینطور....خریدار واقعی بزنگه.
اطلاعات گوشی رو هم تو سایت ها سرچ کنی می بینی که چه امکاناتی داره.",0,NA,mobile,1250000,Sony z5,NA,NA
3525,False,Tehran,Sunday 02PM,"گوشی دمو هستش و سیم کارت نمیخوره
رنگ گلد در حد اکبند بدون خط و خش
فقط تماس پاسخگو هستم لطفا پیام ندید ممنون
با تشکر از دیوار",1,NA,web,900000,نت5 دمو,NA,NA
